Data Supplied By: National Livestock Reporting Service,,,,,,,,,
Data source: National Livestock Reporting Service,,,,,,,,,
,,,,,,,,,
Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/,,,,,,,,,
,,,,,,,,,
Quarterly,State,Saleyard,Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head,Price c/kg Lwt
30/06/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,2,619,141.36
30/06/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,D,2,89,130.88
30/06/2000 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,3,14,134.44
30/06/2000 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,2,23,139.91
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,0-200,Processor,C,2,7,164.2
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,0-200,Restocker,C,2,15,129.4
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,0-200,Restocker,D,1,72,136.42
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,2,442,141.43
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,3,41,140.26
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,1,80,123.5
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,2,40,128.68
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,C,2,359,140.15
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,D,1,17,132.84
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,D,2,20,133.87
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,2,207,138.97
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,3,72,138.02
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,2,25,129.37
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,3,4,130
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,2,46,133.72
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,1,5,155.2
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,2,51,126.89
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,2,181,136.29
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,3,209,134.97
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,2,23,127.83
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,3,5,124.6
